"","시도명","시군구명","도로종류","도로노선번호","도로노선명","도로노선방향","소재지도로명주소","소재지지번주소","위도"
"1","경기도","시흥시","시도","해당없음","해송십리로",3,"","경기도 시흥시 정왕동 2566",37.362615128
"2","경기도","시흥시","시도","해당없음","해송십리로",3,"","경기도 시흥시 정왕동 2554",37.364819132
"3","경기도","안산시","일반국도","39번","중앙대로",3,"","경기도 안산시 단원구 고잔동 821",37.316294613
"4","경기도","안산시","시도","해당없음","해안로",3,"","경기도 안산시 상록구 사동 1636",37.297799
"5","경기도","안성시","시도","해당없음","안성맞춤대로",3,"","경기도 안성시 미양면 양변리 260-2",36.952602
"6","경기도","수원시","시도","해당없음","월드컵로",3,"","경기도 수원시 팔달구 우만동 293-12",37.290316
"7","경기도","수원시","시도","해당없음","팔달로",3,"","경기도 수원시 장안구 영화동 375-28",37.285708438
"8","경기도","수원시","시도","해당없음","팔달로",3,"","경기도 수원시 장안구 영화동 349-7",37.287230971
"9","경기도","수원시","시도","해당없음","서부로",3,"","경기도 수원시 장안구 이목동 243-22",37.316387
"10","경기도","수원시","시도","해당없음","권선로",3,"","경기도 수원시 권선구 세류동 227-12",37.263752
"11","경기도","수원시","시도","해당없음","오목천로",3,"","경기도 수원시 권선구 오목천동 438-5",37.240155525
"12","경기도","수원시","시도","해당없음","팔달로",3,"","경기도 수원시 팔달구 고등동 169-2",37.276549
"13","경기도","광명시","시도","해당없음","오리로",3,"","경기도 광명시 일직동 228-1",37.41808975
"14","경기도","안양시","시도","해당없음","충훈로",3,"","경기도 안양시 만안구 석수동 796-9",37.407224618
"15","경기도","이천시","시도","12번","서이천로",3,"","경기도 이천시 마장면 표교리 540-11",37.253296
"16","경기도","수원시","시도","해당없음","구운로85번길",3,"","경기도 수원시 권선구 구운동 924-3",37.28117316
"17","경기도","부천시","일반국도","39번","벌말로",3,"","경기도 부천시 대장동 675-22",37.541947
"18","경기도","부천시","시도","해당없음","중동로",3,"","경기도 부천시 중동 45-15",37.510654436
"19","경기도","부천시","시도","해당없음","상이로",3,"","경기도 부천시 상동 586-3",37.494171212
"20","경기도","부천시","시도","해당없음","조마루로",3,"","경기도 부천시 중동 1174",37.499308762
"21","경기도","부천시","시도","해당없음","상일로",3,"","경기도 부천시 상동 473",37.491605779
"22","경기도","부천시","시도","해당없음","범안로",3,"","경기도 부천시 계수동 67-12",37.460291
"23","경기도","부천시","시도","해당없음","장말로",3,"","경기도 부천시 상동 418-1",37.493377265
"24","경기도","부천시","시도","해당없음","석천로",3,"","경기도 부천시 중동 1228-1",37.508304487
"25","경기도","용인시","일반국도","17번","죽양대로",3,"","경기도 용인시 처인구 양지면 평창리 808-2",37.219411458
"26","경기도","수원시","시도","해당없음","센트럴파크로",3,"","경기도 수원시 영통구 이의동 1381-6",37.291018
"27","경기도","수원시","시도","해당없음","센트럴파크로",3,"","경기도 수원시 영통구 이의동 1381-6",37.290702
"28","경기도","평택시","일반국도","77번","포승향남로",3,"","경기도 평택시 포승읍 도곡리 1206",36.988536
"29","경기도","화성시","일반국도","77번","포승향남로",3,"","경기도 화성시 우정읍 이화리 산 58-8",37.042380896
"30","경기도","시흥시","일반국도","39번","수인로",3,"","경기도 시흥시 군자동 121-3",37.363013
"31","경기도","김포시","시도","해당없음","김포한강1로",3,"","경기도 김포시 운양동 1304-11",37.650665
"32","경기도","김포시","지방도","355번","흥신로",3,"","경기도 김포시 양촌읍 흥신리 352-3",37.675153
"33","경기도","안산시","시도","해당없음","용신로",3,"","경기도 안산시 상록구 본오동 874-7",37.301732
"34","경기도","안산시","시도","해당없음","신안산대학로",3,"","경기도 안산시 단원구 초지동747-3",37.304094
"35","경기도","안산시","시도","해당없음","대부황금로",3,"","경기도 안산시 단원구 대부북동 1855-42",37.277923882
"36","경기도","김포시","일반국도","48번","태장로",3,"","경기도 김포시 고촌읍 풍곡리 450-2",37.615586
"37","경기도","김포시","일반국도","48번","태장로",3,"","경기도 김포시 고촌읍 풍곡리 450-2",37.615586
"38","경기도","김포시","일반국도","48번","태장로",3,"","경기도 김포시 고촌읍 풍곡리 450-2",37.615586
"39","경기도","김포시","일반국도","48번","태장로",3,"","경기도 김포시 걸포동 924-1",37.635729
"40","경기도","김포시","일반국도","48번","태장로",3,"","경기도 김포시 걸포동 924-1",37.635735
"41","경기도","김포시","일반국도","48번","태장로",3,"","경기도 김포시 걸포동 924-1",37.635742
"42","경기도","김포시","일반국도","48번","태장로",3,"","경기도 김포시 걸포동 924-1",37.635697
"43","경기도","김포시","일반국도","48번","태장로",3,"","경기도 김포시 걸포동 924-1",37.63577047
"44","경기도","김포시","일반국도","48번","태장로",3,"","경기도 김포시 걸포동 924-1",37.635683
"45","경기도","김포시","일반국도","48번","태장로",3,"","경기도 김포시 고촌읍 풍곡리 450-1",37.615587
"46","경기도","김포시","일반국도","48번","태장로",3,"","경기도 김포시 고촌읍 풍곡리 450-1",37.615587
"47","경기도","김포시","일반국도","48번","태장로",3,"","경기도 김포시 고촌읍 풍곡리 450-1",37.615587
"48","경기도","시흥시","시도","해당없음","해송십리로",3,"","경기도 시흥시 정왕동 1772-6",37.38524598
"49","경기도","시흥시","시도","해당없음","해송십리로",3,"","경기도 시흥시 정왕동 1775-1",37.385270769
"50","경기도","양평군","군도","12번","중앙로",3,"","경기도 양평군 양평읍 공흥리 750-4",37.495035327
"51","경기도","수원시","시도","해당없음","권선로",3,"","경기도 수원시 영통구 신동 529-15",37.248467
"52","경기도","화성시","지방도","318번","시청로",3,"","경기도 화성시 남양읍 남양리 2144-3",37.20029261
"53","경기도","의왕시","일반국도","1번","경수대로",3,"","경기도 의왕시 오전동 118-7",37.358543159
"54","경기도","의왕시","지방도","57번","안양판교로",3,"","경기도 의왕시 청계동 530-4",37.39261528
"55","경기도","시흥시","일반국도","77번","서해안로",3,"","경기도 시흥시 정왕동 1773-5",37.368092
"56","경기도","시흥시","일반국도","77번","서해안로",3,"","경기도 시흥시 정왕동 1776",37.368101
"57","경기도","이천시","시도","해당없음","남이천로",3,"","경기도 이천시 모가면 어농리 482-2",37.18133663
"58","경기도","성남시","고속국도","171번","용인-서울",3,"","경기도 성남시 분당구 운중동 914-1",37.384982017
"59","경기도","시흥시","시도","해당없음","동서로",3,"","경기도 시흥시 하중동 794-4",37.384695
"60","경기도","이천시","지방도","337번","황무로",3,"","경기도 이천시 신둔면 인후리 218",37.304979
"61","경기도","안산시","일반국도","42번","수인로",3,"","경기도 안산시 상록구 팔곡일동 605-13",37.299995
